Artist Name,Track Name,Track ID,Value,Type
Nirvana,Dive,6G2baGa99QcqUUTmkEgeZl,2.04e-06,ac
Nirvana,Dive - Smart Sessions,5yzPKsmRwOaK40dhJYx430,1.86e-06,ac
Nirvana,Dive - Smart Sessions,4oOevM6rfw6eb3t9Jd2eMi,1.86e-06,ac
Snow Patrol,By Heart - Demo,5mZXwYtu83dzfz6dqzMEPO,1.83e-06,ac
Soundgarden,Face Pollution - Studio Outtake,0gjSp2jBAbtYlwZCH7Oq5I,1.61e-06,ac
Stone Temple Pilots,Sex Type Thing - 2017 Remaster,6skC0VsaOZE1kG4CwXI2Zj,1.39e-06,ac
The 1975,Me & You Together Song,6SrvijeageGUiFu9iCDdmM,1.66e-06,ac
The Neighbourhood,A Moment of Silence,57g9uWuZI1t822eLvEVQjn,-60.0,lo
The Smashing Pumpkins,This Time,2d6dhdNVmJjrcVhSzQaYRt,1.44e-06,ac
The Smashing Pumpkins,Jellybelly - Remastered 2012,6912SIXb1G9ql3quOxeCaa,2.2e-06,ac
